country,institute_type,direct_expenditure_type,year,expenditure
Greece,Elementary and Secondary Institutions ,Private,2009,
Hungary,Elementary and Secondary Institutions ,Private,2009,
Iceland,Elementary and Secondary Institutions ,Private,2009,
Ireland,Elementary and Secondary Institutions ,Private,2009,
Israel,Elementary and Secondary Institutions ,Private,2009,
Italy,Elementary and Secondary Institutions ,Private,2009,
Japan,Elementary and Secondary Institutions ,Private,2009,
"Korea, Republic of",Elementary and Secondary Institutions ,Private,2009,
Luxembourg,Elementary and Secondary Institutions ,Private,2009,
Mexico,Elementary and Secondary Institutions ,Private,2009,
Netherlands,Elementary and Secondary Institutions ,Private,2009,
New Zealand,Elementary and Secondary Institutions ,Private,2009,
Norway,Elementary and Secondary Institutions ,Private,2009,
Poland,Elementary and Secondary Institutions ,Private,2009,
Portugal,Elementary and Secondary Institutions ,Private,2009,
Slovak Republic,Elementary and Secondary Institutions ,Private,2009,
Slovenia,Elementary and Secondary Institutions ,Private,2009,
Spain,Elementary and Secondary Institutions ,Private,2009,
Sweden,Elementary and Secondary Institutions ,Private,2009,
Switzerland,Elementary and Secondary Institutions ,Private,2009,
Turkey,Elementary and Secondary Institutions ,Private,2009,
United Kingdom,Elementary and Secondary Institutions ,Private,2009,
United States,Elementary and Secondary Institutions ,Private,2009,
  Brazil,Elementary and Secondary Institutions ,Private,2009,
  Russian Federation,Elementary and Secondary Institutions ,Private,2009,
OECD Average,Higher Education Institutions ,Private,2009,
Australia,Higher Education Institutions ,Private,2009,
Austria,Higher Education Institutions ,Private,2009,
Belgium,Higher Education Institutions ,Private,2009,
Canada,Higher Education Institutions ,Private,2009,
Chile,Higher Education Institutions ,Private,2009,
Czech Republic,Higher Education Institutions ,Private,2009,
Denmark,Higher Education Institutions ,Private,2009,
Estonia,Higher Education Institutions ,Private,2009,
Finland,Higher Education Institutions ,Private,2009,
France,Higher Education Institutions ,Private,2009,
Germany,Higher Education Institutions ,Private,2009,
Greece,Higher Education Institutions ,Private,2009,
Hungary,Higher Education Institutions ,Private,2009,
Iceland,Higher Education Institutions ,Private,2009,
Ireland,Higher Education Institutions ,Private,2009,
Israel,Higher Education Institutions ,Private,2009,
Italy,Higher Education Institutions ,Private,2009,
Japan,Higher Education Institutions ,Private,2009,
"Korea, Republic of",Higher Education Institutions ,Private,2009,
Luxembourg,Higher Education Institutions ,Private,2009,
Mexico,Higher Education Institutions ,Private,2009,
Netherlands,Higher Education Institutions ,Private,2009,
New Zealand,Higher Education Institutions ,Private,2009,
Norway,Higher Education Institutions ,Private,2009,
Poland,Higher Education Institutions ,Private,2009,
Portugal,Higher Education Institutions ,Private,2009,
Slovak Republic,Higher Education Institutions ,Private,2009,
Slovenia,Higher Education Institutions ,Private,2009,
Spain,Higher Education Institutions ,Private,2009,
Sweden,Higher Education Institutions ,Private,2009,
Switzerland,Higher Education Institutions ,Private,2009,
Turkey,Higher Education Institutions ,Private,2009,
United Kingdom,Higher Education Institutions ,Private,2009,
United States,Higher Education Institutions ,Private,2009,
  Brazil,Higher Education Institutions ,Private,2009,
  Russian Federation,Higher Education Institutions ,Private,2009,
OECD Average,All Institutions ,Total,2009,
Australia,All Institutions ,Total,2009,
Austria,All Institutions ,Total,2009,
Belgium,All Institutions ,Total,2009,
Canada,All Institutions ,Total,2009,
Chile,All Institutions ,Total,2009,
Czech Republic,All Institutions ,Total,2009,
Denmark,All Institutions ,Total,2009,
Estonia,All Institutions ,Total,2009,
Finland,All Institutions ,Total,2009,
France,All Institutions ,Total,2009,
Germany,All Institutions ,Total,2009,
Greece,All Institutions ,Total,2009,
Hungary,All Institutions ,Total,2009,
Iceland,All Institutions ,Total,2009,
Ireland,All Institutions ,Total,2009,
Israel,All Institutions ,Total,2009,
Italy,All Institutions ,Total,2009,
Japan,All Institutions ,Total,2009,
"Korea, Republic of",All Institutions ,Total,2009,
Luxembourg,All Institutions ,Total,2009,
Mexico,All Institutions ,Total,2009,
Netherlands,All Institutions ,Total,2009,
New Zealand,All Institutions ,Total,2009,
Norway,All Institutions ,Total,2009,
Poland,All Institutions ,Total,2009,
Portugal,All Institutions ,Total,2009,
Slovak Republic,All Institutions ,Total,2009,
Slovenia,All Institutions ,Total,2009,
Spain,All Institutions ,Total,2009,
Sweden,All Institutions ,Total,2009,
Switzerland,All Institutions ,Total,2009,
Turkey,All Institutions ,Total,2009,
United Kingdom,All Institutions ,Total,2009,
United States,All Institutions ,Total,2009,
  Brazil,All Institutions ,Total,2009,
  Russian Federation,All Institutions ,Total,2009,
OECD Average,Elementary and Secondary Institutions ,Total,2009,
Australia,Elementary and Secondary Institutions ,Total,2009,
Austria,Elementary and Secondary Institutions ,Total,2009,
Belgium,Elementary and Secondary Institutions ,Total,2009,
Canada,Elementary and Secondary Institutions ,Total,2009,
Chile,Elementary and Secondary Institutions ,Total,2009,
Czech Republic,Elementary and Secondary Institutions ,Total,2009,
Denmark,Elementary and Secondary Institutions ,Total,2009,
Estonia,Elementary and Secondary Institutions ,Total,2009,
Finland,Elementary and Secondary Institutions ,Total,2009,
France,Elementary and Secondary Institutions ,Total,2009,
Germany,Elementary and Secondary Institutions ,Total,2009,
Greece,Elementary and Secondary Institutions ,Total,2009,
Hungary,Elementary and Secondary Institutions ,Total,2009,
Iceland,Elementary and Secondary Institutions ,Total,2009,
Ireland,Elementary and Secondary Institutions ,Total,2009,
Israel,Elementary and Secondary Institutions ,Total,2009,
Italy,Elementary and Secondary Institutions ,Total,2009,
Japan,Elementary and Secondary Institutions ,Total,2009,
"Korea, Republic of",Elementary and Secondary Institutions ,Total,2009,
Luxembourg,Elementary and Secondary Institutions ,Total,2009,
Mexico,Elementary and Secondary Institutions ,Total,2009,
Netherlands,Elementary and Secondary Institutions ,Total,2009,
New Zealand,Elementary and Secondary Institutions ,Total,2009,
Norway,Elementary and Secondary Institutions ,Total,2009,
Poland,Elementary and Secondary Institutions ,Total,2009,
Portugal,Elementary and Secondary Institutions ,Total,2009,
Slovak Republic,Elementary and Secondary Institutions ,Total,2009,
Slovenia,Elementary and Secondary Institutions ,Total,2009,
Spain,Elementary and Secondary Institutions ,Total,2009,
Sweden,Elementary and Secondary Institutions ,Total,2009,
Switzerland,Elementary and Secondary Institutions ,Total,2009,
Turkey,Elementary and Secondary Institutions ,Total,2009,
United Kingdom,Elementary and Secondary Institutions ,Total,2009,
United States,Elementary and Secondary Institutions ,Total,2009,
  Brazil,Elementary and Secondary Institutions ,Total,2009,
  Russian Federation,Elementary and Secondary Institutions ,Total,2009,
OECD Average,Higher Education Institutions ,Total,2009,
Australia,Higher Education Institutions ,Total,2009,
Austria,Higher Education Institutions ,Total,2009,
Belgium,Higher Education Institutions ,Total,2009,
Canada,Higher Education Institutions ,Total,2009,
Chile,Higher Education Institutions ,Total,2009,
Czech Republic,Higher Education Institutions ,Total,2009,
Denmark,Higher Education Institutions ,Total,2009,
Estonia,Higher Education Institutions ,Total,2009,
Finland,Higher Education Institutions ,Total,2009,
France,Higher Education Institutions ,Total,2009,
Germany,Higher Education Institutions ,Total,2009,
Greece,Higher Education Institutions ,Total,2009,
Hungary,Higher Education Institutions ,Total,2009,
Iceland,Higher Education Institutions ,Total,2009,
Ireland,Higher Education Institutions ,Total,2009,
Israel,Higher Education Institutions ,Total,2009,
Italy,Higher Education Institutions ,Total,2009,
Japan,Higher Education Institutions ,Total,2009,
"Korea, Republic of",Higher Education Institutions ,Total,2009,
Luxembourg,Higher Education Institutions ,Total,2009,
Mexico,Higher Education Institutions ,Total,2009,
Netherlands,Higher Education Institutions ,Total,2009,
New Zealand,Higher Education Institutions ,Total,2009,
Norway,Higher Education Institutions ,Total,2009,
Poland,Higher Education Institutions ,Total,2009,
Portugal,Higher Education Institutions ,Total,2009,
Slovak Republic,Higher Education Institutions ,Total,2009,
Slovenia,Higher Education Institutions ,Total,2009,
Spain,Higher Education Institutions ,Total,2009,
Sweden,Higher Education Institutions ,Total,2009,
Switzerland,Higher Education Institutions ,Total,2009,
Turkey,Higher Education Institutions ,Total,2009,
United Kingdom,Higher Education Institutions ,Total,2009,
United States,Higher Education Institutions ,Total,2009,
  Brazil,Higher Education Institutions ,Total,2009,
  Russian Federation,Higher Education Institutions ,Total,2009,
OECD Average,All Institutions ,Public,2010,5.4
Australia,All Institutions ,Public,2010,4.6
Austria,All Institutions ,Public,2010,5.6
Belgium,All Institutions ,Public,2010,6.4
Canada,All Institutions ,Public,2010,5.2
Chile,All Institutions ,Public,2010,4.3
Czech Republic,All Institutions ,Public,2010,4.1
Denmark,All Institutions ,Public,2010,7.6
Estonia,All Institutions ,Public,2010,5.6
Finland,All Institutions ,Public,2010,6.4
France,All Institutions ,Public,2010,5.8
Germany,All Institutions ,Public,2010,
Greece,All Institutions ,Public,2010,
Hungary,All Institutions ,Public,2010,4.6
Iceland,All Institutions ,Public,2010,7.0
Ireland,All Institutions ,Public,2010,6.0
Israel,All Institutions ,Public,2010,5.9
Italy,All Institutions ,Public,2010,4.3
Japan,All Institutions ,Public,2010,3.6
"Korea, Republic of",All Institutions ,Public,2010,4.8
Luxembourg,All Institutions ,Public,2010,
Mexico,All Institutions ,Public,2010,5.1
Netherlands,All Institutions ,Public,2010,5.4
New Zealand,All Institutions ,Public,2010,6.0
Norway,All Institutions ,Public,2010,7.5
Poland,All Institutions ,Public,2010,5.0
Portugal,All Institutions ,Public,2010,5.4
Slovak Republic,All Institutions ,Public,2010,4.0
Slovenia,All Institutions ,Public,2010,5.2
Spain,All Institutions ,Public,2010,4.8
Sweden,All Institutions ,Public,2010,6.3
Switzerland,All Institutions ,Public,2010,5.2
Turkey,All Institutions ,Public,2010,
United Kingdom,All Institutions ,Public,2010,5.9
United States,All Institutions ,Public,2010,5.1
  Brazil,All Institutions ,Public,2010,5.6
  Russian Federation,All Institutions ,Public,2010,4.1
OECD Average,Elementary and Secondary Institutions ,Public,2010,3.7
Australia,Elementary and Secondary Institutions ,Public,2010,3.7
Austria,Elementary and Secondary Institutions ,Public,2010,3.5
Belgium,Elementary and Secondary Institutions ,Public,2010,4.3
Canada,Elementary and Secondary Institutions ,Public,2010,3.6
Chile,Elementary and Secondary Institutions ,Public,2010,2.9
Czech Republic,Elementary and Secondary Institutions ,Public,2010,2.6
Denmark,Elementary and Secondary Institutions ,Public,2010,4.7
Estonia,Elementary and Secondary Institutions ,Public,2010,3.9
Finland,Elementary and Secondary Institutions ,Public,2010,4.1
France,Elementary and Secondary Institutions ,Public,2010,3.8
Germany,Elementary and Secondary Institutions ,Public,2010,
Greece,Elementary and Secondary Institutions ,Public,2010,
Hungary,Elementary and Secondary Institutions ,Public,2010,2.8
Iceland,Elementary and Secondary Institutions ,Public,2010,4.7
Ireland,Elementary and Secondary Institutions ,Public,2010,4.6
Israel,Elementary and Secondary Institutions ,Public,2010,4.0
Italy,Elementary and Secondary Institutions ,Public,2010,3.1
Japan,Elementary and Secondary Institutions ,Public,2010,2.8
"Korea, Republic of",Elementary and Secondary Institutions ,Public,2010,3.4
Luxembourg,Elementary and Secondary Institutions ,Public,2010,3.4
Mexico,Elementary and Secondary Institutions ,Public,2010,3.4
Netherlands,Elementary and Secondary Institutions ,Public,2010,3.7
New Zealand,Elementary and Secondary Institutions ,Public,2010,4.4
Norway,Elementary and Secondary Institutions ,Public,2010,5.1
Poland,Elementary and Secondary Institutions ,Public,2010,3.4
Portugal,Elementary and Secondary Institutions ,Public,2010,3.9
Slovak Republic,Elementary and Secondary Institutions ,Public,2010,2.8
Slovenia,Elementary and Secondary Institutions ,Public,2010,3.6
Spain,Elementary and Secondary Institutions ,Public,2010,3.0
Sweden,Elementary and Secondary Institutions ,Public,2010,4.0
Switzerland,Elementary and Secondary Institutions ,Public,2010,3.6
Turkey,Elementary and Secondary Institutions ,Public,2010,2.5
United Kingdom,Elementary and Secondary Institutions ,Public,2010,4.8
United States,Elementary and Secondary Institutions ,Public,2010,3.7
  Brazil,Elementary and Secondary Institutions ,Public,2010,4.3
  Russian Federation,Elementary and Secondary Institutions ,Public,2010,2.0
OECD Average,Higher Education Institutions ,Public,2010,1.1
Australia,Higher Education Institutions ,Public,2010,0.8
Austria,Higher Education Institutions ,Public,2010,1.5
Belgium,Higher Education Institutions ,Public,2010,1.4
Canada,Higher Education Institutions ,Public,2010,1.6
Chile,Higher Education Institutions ,Public,2010,0.8
Czech Republic,Higher Education Institutions ,Public,2010,1.0
Denmark,Higher Education Institutions ,Public,2010,1.8
Estonia,Higher Education Institutions ,Public,2010,1.3
Finland,Higher Education Institutions ,Public,2010,1.9
France,Higher Education Institutions ,Public,2010,1.3
Germany,Higher Education Institutions ,Public,2010,
Greece,Higher Education Institutions ,Public,2010,
Hungary,Higher Education Institutions ,Public,2010,0.8
Iceland,Higher Education Institutions ,Public,2010,1.1
Ireland,Higher Education Institutions ,Public,2010,1.3
Israel,Higher Education Institutions ,Public,2010,1.0
Italy,Higher Education Institutions ,Public,2010,0.8
Japan,Higher Education Institutions ,Public,2010,0.5
"Korea, Republic of",Higher Education Institutions ,Public,2010,0.7
Luxembourg,Higher Education Institutions ,Public,2010,
Mexico,Higher Education Institutions ,Public,2010,1.0
Netherlands,Higher Education Institutions ,Public,2010,1.3
New Zealand,Higher Education Institutions ,Public,2010,1.0
Norway,Higher Education Institutions ,Public,2010,1.6
Poland,Higher Education Institutions ,Public,2010,1.0
Portugal,Higher Education Institutions ,Public,2010,1.0
Slovak Republic,Higher Education Institutions ,Public,2010,0.7
Slovenia,Higher Education Institutions ,Public,2010,1.1
Spain,Higher Education Institutions ,Public,2010,1.1
Sweden,Higher Education Institutions ,Public,2010,1.6
Switzerland,Higher Education Institutions ,Public,2010,1.3
Turkey,Higher Education Institutions ,Public,2010,
United Kingdom,Higher Education Institutions ,Public,2010,0.7
United States,Higher Education Institutions ,Public,2010,1.0
  Brazil,Higher Education Institutions ,Public,2010,0.9
  Russian Federation,Higher Education Institutions ,Public,2010,1.0
OECD Average,All Institutions ,Private,2010,
Australia,All Institutions ,Private,2010,
Austria,All Institutions ,Private,2010,
Belgium,All Institutions ,Private,2010,
Canada,All Institutions ,Private,2010,
Chile,All Institutions ,Private,2010,
Czech Republic,All Institutions ,Private,2010,
Denmark,All Institutions ,Private,2010,
Estonia,All Institutions ,Private,2010,
Finland,All Institutions ,Private,2010,
France,All Institutions ,Private,2010,
Germany,All Institutions ,Private,2010,
Greece,All Institutions ,Private,2010,
Hungary,All Institutions ,Private,2010,
Iceland,All Institutions ,Private,2010,
Ireland,All Institutions ,Private,2010,
Israel,All Institutions ,Private,2010,
Italy,All Institutions ,Private,2010,
Japan,All Institutions ,Private,2010,
"Korea, Republic of",All Institutions ,Private,2010,
Luxembourg,All Institutions ,Private,2010,
Mexico,All Institutions ,Private,2010,
Netherlands,All Institutions ,Private,2010,
New Zealand,All Institutions ,Private,2010,
Norway,All Institutions ,Private,2010,
Poland,All Institutions ,Private,2010,
Portugal,All Institutions ,Private,2010,
Slovak Republic,All Institutions ,Private,2010,
Slovenia,All Institutions ,Private,2010,
Spain,All Institutions ,Private,2010,
Sweden,All Institutions ,Private,2010,
Switzerland,All Institutions ,Private,2010,
Turkey,All Institutions ,Private,2010,
United Kingdom,All Institutions ,Private,2010,
United States,All Institutions ,Private,2010,
  Brazil,All Institutions ,Private,2010,
  Russian Federation,All Institutions ,Private,2010,
OECD Average,Elementary and Secondary Institutions ,Private,2010,
Australia,Elementary and Secondary Institutions ,Private,2010,
Austria,Elementary and Secondary Institutions ,Private,2010,
Belgium,Elementary and Secondary Institutions ,Private,2010,
Canada,Elementary and Secondary Institutions ,Private,2010,
Chile,Elementary and Secondary Institutions ,Private,2010,
Czech Republic,Elementary and Secondary Institutions ,Private,2010,
Denmark,Elementary and Secondary Institutions ,Private,2010,
Estonia,Elementary and Secondary Institutions ,Private,2010,
Finland,Elementary and Secondary Institutions ,Private,2010,
France,Elementary and Secondary Institutions ,Private,2010,
Germany,Elementary and Secondary Institutions ,Private,2010,
Greece,Elementary and Secondary Institutions ,Private,2010,
Hungary,Elementary and Secondary Institutions ,Private,2010,
Iceland,Elementary and Secondary Institutions ,Private,2010,
Ireland,Elementary and Secondary Institutions ,Private,2010,
Israel,Elementary and Secondary Institutions ,Private,2010,
Italy,Elementary and Secondary Institutions ,Private,2010,
Japan,Elementary and Secondary Institutions ,Private,2010,
"Korea, Republic of",Elementary and Secondary Institutions ,Private,2010,
Luxembourg,Elementary and Secondary Institutions ,Private,2010,
Mexico,Elementary and Secondary Institutions ,Private,2010,
Netherlands,Elementary and Secondary Institutions ,Private,2010,
New Zealand,Elementary and Secondary Institutions ,Private,2010,
Norway,Elementary and Secondary Institutions ,Private,2010,
Poland,Elementary and Secondary Institutions ,Private,2010,
Portugal,Elementary and Secondary Institutions ,Private,2010,
Slovak Republic,Elementary and Secondary Institutions ,Private,2010,
Slovenia,Elementary and Secondary Institutions ,Private,2010,
Spain,Elementary and Secondary Institutions ,Private,2010,
Sweden,Elementary and Secondary Institutions ,Private,2010,
Switzerland,Elementary and Secondary Institutions ,Private,2010,
Turkey,Elementary and Secondary Institutions ,Private,2010,
United Kingdom,Elementary and Secondary Institutions ,Private,2010,
United States,Elementary and Secondary Institutions ,Private,2010,
  Brazil,Elementary and Secondary Institutions ,Private,2010,
  Russian Federation,Elementary and Secondary Institutions ,Private,2010,
OECD Average,Higher Education Institutions ,Private,2010,
Australia,Higher Education Institutions ,Private,2010,
Austria,Higher Education Institutions ,Private,2010,
Belgium,Higher Education Institutions ,Private,2010,
Canada,Higher Education Institutions ,Private,2010,
Chile,Higher Education Institutions ,Private,2010,
Czech Republic,Higher Education Institutions ,Private,2010,
Denmark,Higher Education Institutions ,Private,2010,
Estonia,Higher Education Institutions ,Private,2010,
Finland,Higher Education Institutions ,Private,2010,
France,Higher Education Institutions ,Private,2010,
Germany,Higher Education Institutions ,Private,2010,
Greece,Higher Education Institutions ,Private,2010,
Hungary,Higher Education Institutions ,Private,2010,
Iceland,Higher Education Institutions ,Private,2010,
Ireland,Higher Education Institutions ,Private,2010,
Israel,Higher Education Institutions ,Private,2010,
Italy,Higher Education Institutions ,Private,2010,
Japan,Higher Education Institutions ,Private,2010,
"Korea, Republic of",Higher Education Institutions ,Private,2010,
Luxembourg,Higher Education Institutions ,Private,2010,
Mexico,Higher Education Institutions ,Private,2010,
Netherlands,Higher Education Institutions ,Private,2010,
New Zealand,Higher Education Institutions ,Private,2010,
Norway,Higher Education Institutions ,Private,2010,
Poland,Higher Education Institutions ,Private,2010,
Portugal,Higher Education Institutions ,Private,2010,
Slovak Republic,Higher Education Institutions ,Private,2010,
Slovenia,Higher Education Institutions ,Private,2010,
Spain,Higher Education Institutions ,Private,2010,
Sweden,Higher Education Institutions ,Private,2010,
Switzerland,Higher Education Institutions ,Private,2010,
Turkey,Higher Education Institutions ,Private,2010,
United Kingdom,Higher Education Institutions ,Private,2010,
United States,Higher Education Institutions ,Private,2010,
  Brazil,Higher Education Institutions ,Private,2010,
  Russian Federation,Higher Education Institutions ,Private,2010,
OECD Average,All Institutions ,Total,2010,
Australia,All Institutions ,Total,2010,
Austria,All Institutions ,Total,2010,
Belgium,All Institutions ,Total,2010,
Canada,All Institutions ,Total,2010,
Chile,All Institutions ,Total,2010,
Czech Republic,All Institutions ,Total,2010,
Denmark,All Institutions ,Total,2010,
Estonia,All Institutions ,Total,2010,
Finland,All Institutions ,Total,2010,
France,All Institutions ,Total,2010,
Germany,All Institutions ,Total,2010,
Greece,All Institutions ,Total,2010,
Hungary,All Institutions ,Total,2010,
Iceland,All Institutions ,Total,2010,
Ireland,All Institutions ,Total,2010,
Israel,All Institutions ,Total,2010,
Italy,All Institutions ,Total,2010,
Japan,All Institutions ,Total,2010,
"Korea, Republic of",All Institutions ,Total,2010,
Luxembourg,All Institutions ,Total,2010,
Mexico,All Institutions ,Total,2010,
Netherlands,All Institutions ,Total,2010,
New Zealand,All Institutions ,Total,2010,
Norway,All Institutions ,Total,2010,
Poland,All Institutions ,Total,2010,
Portugal,All Institutions ,Total,2010,
Slovak Republic,All Institutions ,Total,2010,
Slovenia,All Institutions ,Total,2010,
Spain,All Institutions ,Total,2010,
Sweden,All Institutions ,Total,2010,
Switzerland,All Institutions ,Total,2010,
Turkey,All Institutions ,Total,2010,
United Kingdom,All Institutions ,Total,2010,
United States,All Institutions ,Total,2010,
  Brazil,All Institutions ,Total,2010,
  Russian Federation,All Institutions ,Total,2010,
OECD Average,Elementary and Secondary Institutions ,Total,2010,
Australia,Elementary and Secondary Institutions ,Total,2010,
Austria,Elementary and Secondary Institutions ,Total,2010,
Belgium,Elementary and Secondary Institutions ,Total,2010,
Canada,Elementary and Secondary Institutions ,Total,2010,
Chile,Elementary and Secondary Institutions ,Total,2010,
Czech Republic,Elementary and Secondary Institutions ,Total,2010,
Denmark,Elementary and Secondary Institutions ,Total,2010,
Estonia,Elementary and Secondary Institutions ,Total,2010,
Finland,Elementary and Secondary Institutions ,Total,2010,
France,Elementary and Secondary Institutions ,Total,2010,
Germany,Elementary and Secondary Institutions ,Total,2010,
Greece,Elementary and Secondary Institutions ,Total,2010,
Hungary,Elementary and Secondary Institutions ,Total,2010,
Iceland,Elementary and Secondary Institutions ,Total,2010,
Ireland,Elementary and Secondary Institutions ,Total,2010,
Israel,Elementary and Secondary Institutions ,Total,2010,
Italy,Elementary and Secondary Institutions ,Total,2010,
Japan,Elementary and Secondary Institutions ,Total,2010,
"Korea, Republic of",Elementary and Secondary Institutions ,Total,2010,
Luxembourg,Elementary and Secondary Institutions ,Total,2010,
Mexico,Elementary and Secondary Institutions ,Total,2010,
Netherlands,Elementary and Secondary Institutions ,Total,2010,
New Zealand,Elementary and Secondary Institutions ,Total,2010,
Norway,Elementary and Secondary Institutions ,Total,2010,
Poland,Elementary and Secondary Institutions ,Total,2010,
Portugal,Elementary and Secondary Institutions ,Total,2010,
Slovak Republic,Elementary and Secondary Institutions ,Total,2010,
Slovenia,Elementary and Secondary Institutions ,Total,2010,
Spain,Elementary and Secondary Institutions ,Total,2010,
Sweden,Elementary and Secondary Institutions ,Total,2010,
Switzerland,Elementary and Secondary Institutions ,Total,2010,
Turkey,Elementary and Secondary Institutions ,Total,2010,
United Kingdom,Elementary and Secondary Institutions ,Total,2010,
United States,Elementary and Secondary Institutions ,Total,2010,
  Brazil,Elementary and Secondary Institutions ,Total,2010,
  Russian Federation,Elementary and Secondary Institutions ,Total,2010,
OECD Average,Higher Education Institutions ,Total,2010,
Australia,Higher Education Institutions ,Total,2010,
Austria,Higher Education Institutions ,Total,2010,
Belgium,Higher Education Institutions ,Total,2010,
Canada,Higher Education Institutions ,Total,2010,
Chile,Higher Education Institutions ,Total,2010,
Czech Republic,Higher Education Institutions ,Total,2010,
Denmark,Higher Education Institutions ,Total,2010,
Estonia,Higher Education Institutions ,Total,2010,
Finland,Higher Education Institutions ,Total,2010,
France,Higher Education Institutions ,Total,2010,
Germany,Higher Education Institutions ,Total,2010,
Greece,Higher Education Institutions ,Total,2010,
Hungary,Higher Education Institutions ,Total,2010,
Iceland,Higher Education Institutions ,Total,2010,
Ireland,Higher Education Institutions ,Total,2010,
Israel,Higher Education Institutions ,Total,2010,
Italy,Higher Education Institutions ,Total,2010,
Japan,Higher Education Institutions ,Total,2010,
"Korea, Republic of",Higher Education Institutions ,Total,2010,
Luxembourg,Higher Education Institutions ,Total,2010,
Mexico,Higher Education Institutions ,Total,2010,
Netherlands,Higher Education Institutions ,Total,2010,
New Zealand,Higher Education Institutions ,Total,2010,
Norway,Higher Education Institutions ,Total,2010,
Poland,Higher Education Institutions ,Total,2010,
Portugal,Higher Education Institutions ,Total,2010,
Slovak Republic,Higher Education Institutions ,Total,2010,
Slovenia,Higher Education Institutions ,Total,2010,
Spain,Higher Education Institutions ,Total,2010,
Sweden,Higher Education Institutions ,Total,2010,
Switzerland,Higher Education Institutions ,Total,2010,
Turkey,Higher Education Institutions ,Total,2010,
United Kingdom,Higher Education Institutions ,Total,2010,
United States,Higher Education Institutions ,Total,2010,
  Brazil,Higher Education Institutions ,Total,2010,
  Russian Federation,Higher Education Institutions ,Total,2010,
OECD Average,All Institutions ,Public,2011,5.3
Australia,All Institutions ,Public,2011,4.3
Austria,All Institutions ,Public,2011,5.5
Belgium,All Institutions ,Public,2011,6.4
Canada,All Institutions ,Public,2011,
Chile,All Institutions ,Public,2011,3.9
Czech Republic,All Institutions ,Public,2011,4.4
Denmark,All Institutions ,Public,2011,7.5
Estonia,All Institutions ,Public,2011,5.2
Finland,All Institutions ,Public,2011,6.3
France,All Institutions ,Public,2011,5.6
Germany,All Institutions ,Public,2011,4.4
Greece,All Institutions ,Public,2011,
Hungary,All Institutions ,Public,2011,4.4
Iceland,All Institutions ,Public,2011,6.9
Ireland,All Institutions ,Public,2011,5.7
Israel,All Institutions ,Public,2011,5.6
Italy,All Institutions ,Public,2011,4.2
Japan,All Institutions ,Public,2011,3.6
"Korea, Republic of",All Institutions ,Public,2011,4.9
Luxembourg,All Institutions ,Public,2011,
Mexico,All Institutions ,Public,2011,5.0
Netherlands,All Institutions ,Public,2011,5.3
New Zealand,All Institutions ,Public,2011,6.3
Norway,All Institutions ,Public,2011,7.3
Poland,All Institutions ,Public,2011,4.8
Portugal,All Institutions ,Public,2011,5.1
Slovak Republic,All Institutions ,Public,2011,3.8
Slovenia,All Institutions ,Public,2011,5.3
Spain,All Institutions ,Public,2011,4.7
Sweden,All Institutions ,Public,2011,6.2
Switzerland,All Institutions ,Public,2011,5.2
Turkey,All Institutions ,Public,2011,
United Kingdom,All Institutions ,Public,2011,5.6
United States,All Institutions ,Public,2011,4.7
  Brazil,All Institutions ,Public,2011,5.9
  Russian Federation,All Institutions ,Public,2011,3.9
OECD Average,Elementary and Secondary Institutions ,Public,2011,3.6
Australia,Elementary and Secondary Institutions ,Public,2011,3.5
Austria,Elementary and Secondary Institutions ,Public,2011,3.5
Belgium,Elementary and Secondary Institutions ,Public,2011,4.3
Canada,Elementary and Secondary Institutions ,Public,2011,
Chile,Elementary and Secondary Institutions ,Public,2011,2.7
Czech Republic,Elementary and Secondary Institutions ,Public,2011,2.6
Denmark,Elementary and Secondary Institutions ,Public,2011,4.3
Estonia,Elementary and Secondary Institutions ,Public,2011,3.3
Finland,Elementary and Secondary Institutions ,Public,2011,4.1
France,Elementary and Secondary Institutions ,Public,2011,3.7
Germany,Elementary and Secondary Institutions ,Public,2011,2.8
Greece,Elementary and Secondary Institutions ,Public,2011,
Hungary,Elementary and Secondary Institutions ,Public,2011,2.6
Iceland,Elementary and Secondary Institutions ,Public,2011,4.7
Ireland,Elementary and Secondary Institutions ,Public,2011,4.4
Israel,Elementary and Secondary Institutions ,Public,2011,3.8
Italy,Elementary and Secondary Institutions ,Public,2011,3.0
Japan,Elementary and Secondary Institutions ,Public,2011,2.7
"Korea, Republic of",Elementary and Secondary Institutions ,Public,2011,3.4
Luxembourg,Elementary and Secondary Institutions ,Public,2011,3.3
Mexico,Elementary and Secondary Institutions ,Public,2011,3.3
Netherlands,Elementary and Secondary Institutions ,Public,2011,3.6
New Zealand,Elementary and Secondary Institutions ,Public,2011,4.8
Norway,Elementary and Secondary Institutions ,Public,2011,4.9
Poland,Elementary and Secondary Institutions ,Public,2011,3.2
Portugal,Elementary and Secondary Institutions ,Public,2011,3.7
Slovak Republic,Elementary and Secondary Institutions ,Public,2011,2.5
Slovenia,Elementary and Secondary Institutions ,Public,2011,3.5
Spain,Elementary and Secondary Institutions ,Public,2011,2.9
Sweden,Elementary and Secondary Institutions ,Public,2011,3.9
Switzerland,Elementary and Secondary Institutions ,Public,2011,3.6
Turkey,Elementary and Secondary Institutions ,Public,2011,
United Kingdom,Elementary and Secondary Institutions ,Public,2011,4.4
United States,Elementary and Secondary Institutions ,Public,2011,3.4
